PARK,ZIP,ACRES,WARD
PARK NO. 540,60616.0,5.01,3
PARK NO. 567,60647.0,0.33,32
MORGAN PARK SPORTS CENTER,60643.0,2.63,19
PARK NO. 574,60612.0,2.21,27
HARTIGAN (DAVID) BEACH,60626.0,2.24,49
MILLER (SAMUEL),60607.0,0.13,25
BEILFUSS (ALBERT W.),60647.0,1.27,26
"BOLER (LEO ROSCOE, SR.)",60624.0,1.81,24
VIOLET,60624.0,0.59,24
ROOSEVELT (THEODORE),60605.0,1.78,4
WARD (A. MONTGOMERY),60610.0,2.92,0
CENTENNIAL,60631.0,1.27,41
SENN (NICHOLAS),60660.0,6.05,48
BATTLE OF FORT DEARBORN,60616.0,0.46,3
HORNBEAM,60623.0,0.35,24
BARRETT (JOHN),60608.0,0.7,25
LAKE MEADOWS,60616.0,7.97,4
WINNEMAC,60625.0,22.73,40
LE CLAIRE COURTS - HEARST COMM. CTR,60638.0,12.56,22
TAYLOR (ROBERT ROCHON),60609.0,9.69,3
SYCAMORE,60615.0,0.64,4
PARK NO. 421,60609.0,1.0,20
CORNELL (PAUL),60615.0,0.24,5
LUNA,60621.0,0.23,20
MORAN (TERRANCE),60621.0,1.94,16
"TAYLOR-LAURIDSEN (JOHN, EMIL)",60609.0,4.93,11
HALE (NATHAN),60638.0,17.44,13
TILL-MOBLEY (MAMIE),60637.0,0.66,20
OGDEN (WILLIAM),60636.0,57.04,17
DREXEL (FRANCIS),60636.0,0.31,17
MEYERING (WILLIAM),60619.0,3.1,6
LYLE (JOHN),60620.0,1.74,0
WALLACE,60620.0,1.04,21
SHERIDAN (PHILIP HENRY),60607.0,4.44,25
RIDGE,60643.0,9.82,19
BEVERLY,60655.0,13.98,19
BARNARD (ERASTUS),60643.0,2.38,19
WHITE (JESSE),60654.0,1.67,27
NORTH BOUNDARY,60645.0,2.02,50
PARK NO. 566,60617.0,70.3,0
LA VILLITA,60608.0,22.77,12
ABBOTT (ROBERT),60628.0,25.0,9
WANG (CHI CHE),60657.0,1.97,32
DUNHAM (ROBERT),60630.0,14.88,38
WHITE (WILLYE B.),60626.0,3.31,49
PARK NO. 526,60659.0,7.53,50
HOWARD (URE) BEACH,60626.0,1.06,49
DUBKIN (LEONARD),60626.0,0.36,49
PASCHEN (CHRISTIAN),60626.0,1.0,49
LERNER (LEO),60645.0,8.53,50
GREEN (JEFFREY),60646.0,1.35,41
NORWOOD CIRCLE,60631.0,2.6,41
ROSEDALE,60646.0,3.07,45
NORWOOD,60631.0,16.41,41
PULLMAN (GEORGE),60628.0,1.01,9
ARCADE,60628.0,1.22,9
ALMOND,60643.0,0.74,19
METCALFE (RALPH),60609.0,6.73,3
MERRIMAC,60634.0,9.45,38
MERRYMAN (THERON),60613.0,0.21,47
AMUNDSEN (ROALD),60639.0,16.52,29
GRAPE,60618.0,0.16,33
SIMONS (ALMIRA),60647.0,1.18,26
GOUDY (WILLIAM) SQUARE,60610.0,0.61,43
MARIANO (LOUIS),60611.0,0.18,42
LINDEN,60651.0,0.53,37
DAVIS (MARGARET),60651.0,0.29,37
ORR (REZIN),60624.0,6.96,37
SMITH (JOSEPH HIGGINS),60612.0,10.53,26
HAZELNUT,60644.0,0.29,29
SNAPPING TURTLE,60612.0,0.16,27
GINKGO,60623.0,0.18,24
